Name,Funding,Department
Geographic Programs: San Francisco Bay Water Quality Improvement Fund ,46000000,Department of Veterans Affairs
Geographic Programs: South Florida Geographic Initiatives Program ,11000000,Department of Veterans Affairs
Geographic Programs: Southeast New England Coastal Watershed Restoration Program ,5000000,Department of Veterans Affairs
Greenhouse Gas and Zero Emission On-road Mobile Source Standards,0,Department of Veterans Affairs
Greenhouse Gas Reduction Fund: Clean Communities Investment Accelerator ,6000000000,Department of Veterans Affairs
Greenhouse Gas Reduction Fund: National Clean Investment Fund ,14000000000,Department of Veterans Affairs
Greenhouse Gas Reduction Fund: Solar for All ,7000000,Department of Veterans Affairs
Hazardous Waste Management Grant Program for Tribes ,600000,Department of Veterans Affairs
Hazardous Waste Management State Program Support ,40000000,Department of Veterans Affairs
Headquarters and Regional Underground Storage Tanks Program ,406000,Department of Veterans Affairs
Healthy Communities Grant Program ,87000,Department of Veterans Affairs
Healthy Watersheds Consortium Grant Program,0,Department of Veterans Affairs
Hydrofuorocarbon Reclaim and Innovative Destruction Grants ,14000000,Department of Veterans Affairs
Indian Environmental General Assistance Program (GAP) ,71000000,Department of Veterans Affairs
Innovative Water Infrastructure Workforce Development Program (SDWA 1459E) ,16000000,Department of Veterans Affairs
Innovative Water Technology Grant Program ,1000000,Department of Veterans Affairs
International Compliance and Enforcement Projects,0,Department of Veterans Affairs
International Financial Assistance Projects Sponsored by the Offce of International and Tribal Affairs ,6000000,Department of Veterans Affairs
"Internships, Training and Workshops for the Offce of Air and Radiation ",1000000,Department of Veterans Affairs
Leaking Underground Storage Tank Trust Fund Corrective Action Program ,55000000,Department of Veterans Affairs
Multipurpose Grants to States and Tribes,0,Department of Veterans Affairs
National Environmental Education Training Program ,2000000,Department of Veterans Affairs
National Estuary Program ,58000000,Department of Veterans Affairs
National Wetland Program Development Grants and Five-Star Restoration Training Grant ,969000,Department of Veterans Affairs
Non-State Member Support for the Gulf Hypoxia Action Plan ,6000000,Department of Veterans Affairs
Nonpoint Source Implementation Grants ,118000000,Department of Veterans Affairs
Offce of Research and Development Consolidated Research/Training/Fellowships ,17000000,Department of Veterans Affairs
Ozone Transport Commission,0,Department of Veterans Affairs
P3 Award: National Student Design Competition for Sustainability ,1000000,Department of Veterans Affairs
Performance Partnership Grants ,498000000,Department of Veterans Affairs
Pesticide Environmental Stewardship Program (PESP) Grants ,40000,Department of Veterans Affairs
Pesticide Registration Improvement Act Employee Training,0,Department of Veterans Affairs
Pollution Prevention Grants Program ,17000000,Department of Veterans Affairs
PRIA 5: Farm Worker and Health Care Provider Training and Education Grants ,80000,Department of Veterans Affairs
Protection of Children from Environmental Health Risks ,40000,Department of Veterans Affairs
"Reduce, Reuse, Recycling Education and Outreach Grants ",31000000,Department of Veterans Affairs
Reducing Embodied Greenhouse Gas Emissions for Construction Materials and Products,0,Department of Veterans Affairs
Reducing Lead in Drinking Water (SDWA 1459B) ,0,Department of Veterans Affairs
Regional Wetland Program Development Grants ,17000000,Department of Veterans Affairs
"Research, Development, Monitoring, Public Education, Outreach, Training, Demonstrations, and Studies ",7000000,Department of Veterans Affairs
Response to Emergency Situations Affecting Public Water Systems (SDWA 1442b) ,102000000,Department of Veterans Affairs
Science To Achieve Results (STAR) Research Program ,20000000,Department of Veterans Affairs
Senior Environmental Employment Program ,33000000,Department of Veterans Affairs
Sewer Overfow and Stormwater Reuse Municipal Grant Program ,52000000,Department of Veterans Affairs
Solid Waste Infrastructure for Recycling Infrastructure Grants ,107000000,Department of Veterans Affairs
Solid Waste Management Assistance Grants ,2000000,Department of Veterans Affairs
Source Reduction Assistance ,188000,Department of Veterans Affairs
State and Tribal Indoor Radon Grants ,8000000,Department of Veterans Affairs
State and Tribal Response Program Grants ,89000000,Department of Veterans Affairs
State programs for control of coal combustion residuals ,1000000,Department of Veterans Affairs
State Public Water System Supervision ,57000000,Department of Veterans Affairs
State Senior Environmental Employment Program ,318000,Department of Veterans Affairs
State Underground Water Source Protection ,6000000,Department of Veterans Affairs
Superfund State and Indian Tribe Combined Cooperative Agreements (Site-Specfc and Core) ,9000000,Department of Veterans Affairs
Superfund State and Indian Tribe Core Program Cooperative Agreements ,5000000,Department of Veterans Affairs
"Superfund State, Political Subdivision, and Indian Tribe Site-Specifc Cooperative Agreements ",103000000,Department of Veterans Affairs
Superfund Technical Assistance Grants (TAG) for Community Groups at National Priority List (NPL) Sites ,200000,Department of Veterans Affairs
Support for the Gulf Hypoxia Action Plan ,1000000,Department of Veterans Affairs
"Surveys, Studies, Investigations and Special Purpose Grants within the Offce of Research and Development ",1000000,Department of Veterans Affairs
"Surveys, Studies, Investigations and Special Purpose Grants within the Offce of the Administrator ",778000,Department of Veterans Affairs
"Surveys, Studies, Investigations, Demonstrations, and Training Grants and Cooperative Agreements, Section 104(b)(3) of the Clean Water Act ",7000000,Department of Veterans Affairs
"Surveys, Studies, Investigations, Demonstrations, and Training Grants, Section 1442 of the Safe Drinking Water Act ",27000000,Department of Veterans Affairs
"Surveys, Studies, Investigations, Training and Special Purpose Activities Relating to Environmental Justice ",28000000,Department of Veterans Affairs
"Surveys, Studies, Research, Investigations, Demonstrations, and Special Purpose Activities Relating to the Clean Air Act ",150000000,Department of Veterans Affairs
Targeted Airshed Grant Program ,27000000,Department of Veterans Affairs
Technical Assistance for Treatment Works (Clean Water Act [CWA] Section 104(b)(8)) ,580000,Department of Veterans Affairs
Temporally Integrated Monitoring of Ecosystems (TIME) and Long-Term Monitoring (LTM) Program ,120000,Department of Veterans Affairs
Toxic Substances Compliance Monitoring Cooperative Agreements ,5000000,Department of Veterans Affairs
"Training, Investigations and Special Purpose Activities of Federally Recognized Indian Tribes Consistent With the Clean Air Act (CAA), Tribal Sovereignty and the Protection and Management of Air Quality ",5000000,Department of Veterans Affairs
